Ano,Mês,Valor,Estado
2004,Novembro,1406.0,Amapá
2004,Dezembro,1266.0,Amapá
2005,Janeiro,194.0,Amapá
2005,Fevereiro,1.0,Amapá
2005,Março,,Amapá
2005,Abril,,Amapá
2005,Maio,1.0,Amapá
2005,Junho,3.0,Amapá
2005,Julho,1.0,Amapá
2005,Agosto,15.0,Amapá
2005,Setembro,139.0,Amapá
2005,Outubro,509.0,Amapá
2005,Novembro,1054.0,Amapá
2005,Dezembro,103.0,Amapá
2006,Janeiro,10.0,Amapá
2006,Fevereiro,1.0,Amapá
2006,Março,,Amapá
2006,Abril,4.0,Amapá
2006,Maio,,Amapá
2006,Junho,,Amapá
2006,Julho,,Amapá
2006,Agosto,27.0,Amapá
2006,Setembro,159.0,Amapá
2006,Outubro,565.0,Amapá
2006,Novembro,637.0,Amapá
2006,Dezembro,262.0,Amapá
2007,Janeiro,12.0,Amapá
2007,Fevereiro,1.0,Amapá
2007,Março,2.0,Amapá
2007,Abril,,Amapá
2007,Maio,,Amapá
2007,Junho,,Amapá
2007,Julho,19.0,Amapá
2007,Agosto,10.0,Amapá
2007,Setembro,146.0,Amapá
2007,Outubro,485.0,Amapá
2007,Novembro,753.0,Amapá
2007,Dezembro,56.0,Amapá
2008,Janeiro,4.0,Amapá
2008,Fevereiro,1.0,Amapá
2008,Março,2.0,Amapá
2008,Abril,2.0,Amapá
2008,Maio,,Amapá
2008,Junho,2.0,Amapá
2008,Julho,4.0,Amapá
2008,Agosto,14.0,Amapá
2008,Setembro,133.0,Amapá
2008,Outubro,651.0,Amapá
2008,Novembro,1182.0,Amapá
2008,Dezembro,158.0,Amapá
2009,Janeiro,8.0,Amapá
2009,Fevereiro,,Amapá
2009,Março,,Amapá
2009,Abril,2.0,Amapá
2009,Maio,2.0,Amapá
2009,Junho,1.0,Amapá
2009,Julho,4.0,Amapá
2009,Agosto,23.0,Amapá
2009,Setembro,214.0,Amapá
2009,Outubro,951.0,Amapá
2009,Novembro,1115.0,Amapá
2009,Dezembro,136.0,Amapá
2010,Janeiro,4.0,Amapá
2010,Fevereiro,,Amapá
2010,Março,3.0,Amapá
2010,Abril,,Amapá
2010,Maio,2.0,Amapá
2010,Junho,,Amapá
2010,Julho,3.0,Amapá
2010,Agosto,2.0,Amapá
2010,Setembro,72.0,Amapá
2010,Outubro,358.0,Amapá
2010,Novembro,490.0,Amapá
2010,Dezembro,66.0,Amapá
2011,Janeiro,,Amapá
2011,Fevereiro,3.0,Amapá
2011,Março,,Amapá
2011,Abril,,Amapá
2011,Maio,2.0,Amapá
2011,Junho,1.0,Amapá
2011,Julho,4.0,Amapá
2011,Agosto,12.0,Amapá
2011,Setembro,140.0,Amapá
2011,Outubro,381.0,Amapá
2011,Novembro,407.0,Amapá
2011,Dezembro,446.0,Amapá
2012,Janeiro,34.0,Amapá
2012,Fevereiro,8.0,Amapá
2012,Março,3.0,Amapá
2012,Abril,2.0,Amapá
2012,Maio,3.0,Amapá
2012,Junho,8.0,Amapá
2012,Julho,6.0,Amapá
2012,Agosto,31.0,Amapá
2012,Setembro,173.0,Amapá
2012,Outubro,583.0,Amapá
